Loc;Genera_Prefix;Lineage_Name;Lineage;parasiteGenus;order;family;genus;species;Host_Status;Host_Age;Host_Environment;continent;country;region;site;Lat1;Lat2;Lat3;Lon1;Lon2;Lon3;length;IDSeq;IDLoc;Latitude;Longitude
38.6758333333333_-6.37416666666667;P_;SGS1;P_SGS1;Plasmodium;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_scirpaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1249;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;H_;RW1;H_RW1;Haemoproteus;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_scirpaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1203;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;GRW04;P_GRW04;Plasmodium;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_scirpaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_643;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;H_;MW1;H_MW1;Haemoproteus;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_scirpaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_888;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;SW5;P_SW5;Plasmodium;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_scirpaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1284;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;GRW11;P_GRW11;Plasmodium;Passeriformes;Sylviidae;Cettia;Cettia_cetti;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_650;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;SGS1;P_SGS1;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1249;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;P_;GRW04;P_GRW04;Plasmodium;Passeriformes;Sylviidae;Acrocephalus;Acrocephalus_arundinaceus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_643;324;38,6758333333333;-6,37416666666667
38.6758333333333_-6.37416666666667;H_;PADOM23;H_PADOM23;Haemoproteus;Passeriformes;Passeridae;Passer;Passer_domesticus;_;_;Wild;Europe;Portugal;_;Vilamoura;37;5;5733;-8;8;5373;Full;Parasite_1012;324;38,6758333333333;-6,37416666666667
38.6858333333333_-3.315;P_;SGS1;P_SGS1;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;Resident;Juvenile;Wild;Europe;Spain;_;Rota;36;39;7329;-6;23;8286;Full;Parasite_1249;639;38,6858333333333;-3,315
38.6858333333333_-3.315;P_;GRW11;P_GRW11;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;Resident;Juvenile;Wild;Europe;Spain;_;Rota;36;39;7329;-6;23;8286;Full;Parasite_650;639;38,6858333333333;-3,315
38.6858333333333_-4.67;P_;PADOM01;P_PADOM01;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;Resident;Juvenile;Wild;Europe;Spain;_;Dehesa_Beas_villages;37;25;4569;-6;49;1848;Full;Parasite_996;441;38,6858333333333;-4,67
38.6858333333333_-4.67;P_;PAGRI02;P_PAGRI02;Plasmodium;Passeriformes;Passeridae;Passer;Passer_domesticus;Resident;Adult;Wild;Europe;Spain;_;Dehesa_Beas_villages;37;25;4569;-6;49;1848;Full;Parasite_1020;441;38,6858333333333;-4,67
